,source,translation,reference,bleu-score,chrf-score,ter-score,bert-score,bleurt-score,comet-score,id,label,error-type
0,"In 1951, a fire caused for only some of the relics of the Drukgyal Dzong to remain, such as the image of Zhabdrung Ngawang Namgyal.","En 1951, un incendio causó que sólo permanecieran algunas de las reliquias del Drukgyal Dzong, como la imagen de Zhabdrung Ngawang Namgyal.","El retrato de Zhabdrung Ngawang Namgyal es una de las pocas reliquias que han quedado del Drukgyal Dzong, como consecuencia de un incendio ocurrido en 1951.",26.15199911250418,55.13338802091086,65.38461538461539,0.932828962802887,0.6687691807746887,0.8458272218704224,396,correct,wrong-language
1,"In 1951, a fire caused for only some of the relics of the Drukgyal Dzong to remain, such as the image of Zhabdrung Ngawang Namgyal.","A causa d'un incendi l'any 1951, avui només es conserven algunes de les relíquies de Drukgyal Dzong, com ara la imatge de Zhabdrung Ngawang Namgyal.","El retrato de Zhabdrung Ngawang Namgyal es una de las pocas reliquias que han quedado del Drukgyal Dzong, como consecuencia de un incendio ocurrido en 1951.",13.834368456410946,46.84334626707989,84.61538461538461,0.917182683944702,0.5664343237876892,0.8221219182014465,396,incorrect,wrong-language
2,"In 1994, the ethnically Armenian Nagorno-Karabakh region of Azerbaijan waged war against the Azeris.","En 1994, la región étnicamente armenia de Nagorno-Karabaj de Azerbaiyán libró una guerra contra los azeríes.","En 1994, la zona de Nagorno-Karabaj, de grupo étnico armenio, en Azerbaiyán, se lanzó a la lucha contra los azeríes.",20.96364770223742,57.5467207993219,65.0,0.9346864819526672,0.8103200793266296,0.804375410079956,397,correct,wrong-language
3,"In 1994, the ethnically Armenian Nagorno-Karabakh region of Azerbaijan waged war against the Azeris.","L'any 1994, la regió de l'Alt Karabakh de l'Azerbaidjan, d'ètnia armènia, es va alçar en guerra contra els àzeris.","En 1994, la zona de Nagorno-Karabaj, de grupo étnico armenio, en Azerbaiyán, se lanzó a la lucha contra los azeríes.",7.592508916777589,29.82742679126912,80.0,0.8835059404373169,0.4306161403656006,0.8309085965156555,397,incorrect,wrong-language
4,"So if you were standing by the shoreline, you would be able to see down to whatever pebbles or gunk that was on the bottom.","Así que si estuvieras de pie junto a la costa, serías capaz de ver hacia abajo a cualquier rocalla o gunk que estuviera en el fondo.","Por lo tanto, si estuviera de pie junto a la orilla, podría observar cualquier pequeña piedra o porquería que hubiese en el fondo.",23.793665482062615,42.58218248147685,69.56521739130434,0.933740735054016,0.5240582227706909,0.672714352607727,398,correct,wrong-language
5,"So if you were standing by the shoreline, you would be able to see down to whatever pebbles or gunk that was on the bottom.","Així doncs, si fóssiu a la vora de la costa, podríeu veure qualsevol pedra o brutícia que hi hagués al fons.","Por lo tanto, si estuviera de pie junto a la orilla, podría observar cualquier pequeña piedra o porquería que hubiese en el fondo.",5.014286671776825,23.935780814195248,82.6086956521739,0.9326351284980774,0.7211070656776428,0.7739302515983582,398,incorrect,wrong-language
6,"The pit is either heated with hot stones from a fire, or in some places geothermal heat makes areas of ground naturally hot.","El pozo se calienta con piedras calientes de un fuego, o en algunos lugares el calor geotérmico hace áreas de tierra naturalmente calientes.","El pozo se calienta con piedras calientes extraídas del fuego o, en algunos lugares, el calor geotérmico hace que ciertas zonas del suelo se calienten de forma natural.",32.04390620827869,63.82062638094372,53.57142857142857,0.938130497932434,0.7877200841903687,0.8499007225036621,399,correct,wrong-language
7,"The pit is either heated with hot stones from a fire, or in some places geothermal heat makes areas of ground naturally hot.",El clot s'escalfa amb pedres calentes d'un foc o en alguns indrets la calor geotèrmica crea zones de terra calenta de manera natural.,"El pozo se calienta con piedras calientes extraídas del fuego o, en algunos lugares, el calor geotérmico hace que ciertas zonas del suelo se calienten de forma natural.",3.215048479787765,31.023897634843816,82.14285714285714,0.9160876274108888,0.373574435710907,0.8059067130088806,399,incorrect,wrong-language
8,"Robert Hooke, a biologist from England, saw small squares in cork with a microscope.","Robert Hooke, un biólogo de Inglaterra, vio pequeños cuadrados en corcho con un microscopio.","Analizando un corcho con un microscopio, Robert Hooke, un biólogo inglés, observó pequeños cuadrados en su estructura.",35.279853735102776,61.8375800631172,52.94117647058824,0.94502991437912,0.751584529876709,0.8559522032737732,400,correct,wrong-language
9,"Robert Hooke, a biologist from England, saw small squares in cork with a microscope.","Robert Hooke, un biòleg d'Anglaterra, va observar petits quadrats de suro amb un microscopi.","Analizando un corcho con un microscopio, Robert Hooke, un biólogo inglés, observó pequeños cuadrados en su estructura.",13.014525419436705,37.30308748068858,88.23529411764706,0.9111585021018982,0.4483658671379089,0.7940025329589844,400,incorrect,wrong-language
